,kepid,kepoi_name,kepler_name,koi_kepmag,system,# TTV,# non TTV,size_sys,circumbinary_flag,# stars,eccentricity
1027,6278762,K03158.03,Kepler-444 d,8.717,Kepler-444,0,5,5,0,3,"[0.18, 0.1, 0.31, 0.16, 0.29]"
1028,4735826,K03184.01,Kepler-1972 b,11.158,Kepler-1972,2,0,2,0,1,"[0.067, 0.043]"
1029,7778621,K04725.01,Kepler-1967 b,13.367,Kepler-1967,0,1,1,0,1,[None]
1030,9100953,K04500.02,Kepler-1610 c,15.85,Kepler-1610,0,2,2,0,1,"[None, 0.0]"
1031,6278762,K03158.04,Kepler-444 e,8.717,Kepler-444,0,5,5,0,3,"[0.18, 0.1, 0.31, 0.16, 0.29]"
1032,11671579,K04510.01,Kepler-1611 b,14.435,Kepler-1611,0,1,1,0,1,[None]
1033,6278762,K03158.05,Kepler-444 f,8.717,Kepler-444,0,5,5,0,3,"[0.18, 0.1, 0.31, 0.16, 0.29]"
1034,7429240,K04450.01,Kepler-1606 b,15.139,Kepler-1606,0,1,1,0,1,[None]
1035,5003670,K04524.01,Kepler-1962 b,14.955,Kepler-1962,0,1,1,0,1,[None]
1036,6278762,K03158.01,Kepler-444 b,8.717,Kepler-444,0,5,5,0,3,"[0.18, 0.1, 0.31, 0.16, 0.29]"
1037,8636600,K04478.01,Kepler-1959 b,14.58,Kepler-1959,0,1,1,0,1,[None]
1038,7983117,K03214.01,Kepler-1988 b,12.014,Kepler-1988,0,1,1,0,1,[0.0]
1039,6615511,K03306.01,Kepler-1463 b,15.759,Kepler-1463,0,1,1,0,1,[None]
1040,3632089,K03308.01,Kepler-1464 b,14.159,Kepler-1464,0,2,2,0,1,"[None, None]"
1041,4271474,K03324.01,Kepler-1469 b,15.965,Kepler-1469,0,1,1,0,1,[None]
1042,9885417,K03246.01,Kepler-1446 b,12.411,Kepler-1446,0,1,1,0,1,[None]
1043,12055539,K03261.01,Kepler-1448 b,14.411,Kepler-1448,0,1,1,0,1,[None]
1044,8620402,K03267.01,Kepler-1913 b,14.706,Kepler-1913,0,1,1,0,1,[None]
1045,3544640,K03279.01,Kepler-1914 b,15.765,Kepler-1914,0,1,1,0,1,[None]
1046,10653179,K03280.01,Kepler-1453 b,15.57,Kepler-1453,1,0,1,0,1,[None]
1047,6497146,K03284.01,Kepler-438 b,14.467,Kepler-438,0,1,1,0,1,[0.03]
1048,9967771,K01875.02,Kepler-990 c,14.498,Kepler-990,0,2,2,0,1,"[None, None]"
1049,6975129,K01628.02,Kepler-312 b,12.949,Kepler-312,1,1,2,0,1,"[None, None]"
1050,6364582,K03456.01,Kepler-1505 b,12.988,Kepler-1505,0,1,1,0,1,[None]
1051,9529744,K01806.03,Kepler-320 b,13.474,Kepler-320,0,2,2,0,1,"[None, None]"
1052,10328393,K01905.02,Kepler-332 c,14.017,Kepler-332,0,3,3,0,1,"[None, None, None]"
1053,2717158,K03459.01,Kepler-1922 b,15.208,Kepler-1922,0,1,1,0,1,[None]
1054,9995771,K03470.02,Kepler-1509 b,15.386,Kepler-1509,0,1,1,0,1,[None]
1055,11754430,K03403.02,Kepler-1488 c,13.102,Kepler-1488,0,2,2,0,1,"[None, None]"
1056,11853878,K01833.02,Kepler-968 d,14.265,Kepler-968,0,2,2,0,1,"[None, None]"
1057,3433668,K03415.01,Kepler-1493 b,13.109,Kepler-1493,0,1,1,0,1,[None]
1058,11303322,K03345.01,Kepler-1472 b,14.633,Kepler-1472,0,1,1,0,1,[None]
1059,3745559,K03423.01,Kepler-1920 b,14.296,Kepler-1920,0,1,1,0,1,[None]
1060,8424002,K03497.01,Kepler-1512 b,13.393,Kepler-1512,0,1,1,0,1,[None]
1061,10657406,K01837.02,Kepler-969 c,13.733,Kepler-969,0,2,2,0,1,"[None, None]"
1062,7091432,K03353.01,Kepler-1477 b,14.598,Kepler-1477,0,1,1,0,1,[None]
1063,3728432,K03893.01,Kepler-1526 b,15.646,Kepler-1526,0,1,1,0,1,[None]
1064,9892816,K01955.03,Kepler-342 e,13.147,Kepler-342,2,2,4,0,1,"[None, None, None, None]"
1065,3128552,K02055.03,Kepler-1073 d,14.523,Kepler-1073,0,3,3,0,1,"[None, None, None]"
1066,9761615,K03911.01,Kepler-1528 b,14.496,Kepler-1528,0,1,1,0,1,[None]
1067,8494410,K03685.02,Kepler-1516 b,14.461,Kepler-1516,0,1,1,0,1,[None]
1068,5784777,K03916.01,Kepler-1529 b,15.362,Kepler-1529,0,1,1,0,1,[None]
